"source_attribute_id,target_attribute_name"
"www.planet-computer.it//dimensione visibile orizzontale,screen_size_horizontal"
"www.pc-canada.com//product name,screen_size_diagonal"
"www.pc-canada.com//product name,screen_type"
"www.kingsfieldcomputers.co.uk//weight approximate,monitor_weight"
"www.mediashopuk.com//weight,monitor_weight"
"www.cleverboxes.com//dimensions,monitor_dimension_with_stand"
"www.cleverboxes.com//dimensions,monitor_height_with_stand"
"www.cleverboxes.com//dimensions,monitor_width_with_stand"
"www.cleverboxes.com//dimensions,monitor_weight_with_stand"
"www.cleverboxes.com//dimensions,monitor_depth_with_stand"
"www.nexus-t.co.uk//displayports,displayport_quantity"
"www.cleverboxes.com//power consumption,power_consumption_standy"
"www.cleverboxes.com//power consumption,power_consumption_max"
"www.nexus-t.co.uk//wall mount,mount_model"
"www.odsi.co.uk//max resolution,supported_resolution"
"www.pcconnection.com//internal resolution max,supported_resolution"
"www.planet-computer.it//risoluzione massima,supported_resolution"
"www.ebay.com//display format,supported_resolution"
"www.makingbuyingeasy.co.uk//supported video modes,supported_resolution"
"www.ebay.com//scan format,supported_resolution"
"www.imldirect.it//headphone,has_headphone_port"
"www.mrhightech.com//dvi port,has_dvi_port"
"www.imldirect.it//dvi,has_dvi_port"
"www.best-deal-items.com//horizontal scan range,horizontal_refresh_rate_range"
"www.odsi.co.uk//horizontal refresh rate,horizontal_refresh_rate_range"
"www.best-deal-items.com//horizontal scan range,horizontal_refresh_rate_max"
"www.odsi.co.uk//horizontal refresh rate,horizontal_refresh_rate_max"
"www.xpcpro.com//package weight,packaging_weight"
"www.mediashopuk.com//nonoperating altitude,non_operating_working_altitude"
"www.nexus-t.co.uk//usb 20 upstream ports,usb_port2_upstream_quantity"
"www.planet-computer.it//wifi,wifi"
"www.mediashopuk.com//packaging height,packaging_height"
"www.mediashopuk.com//packaging height,packaging_dimension"
"www.hardware-planet.it//numero di lingue osd,supported_languages_number"
"www.ebay.com//display response time,response_time"
"www.officedepot.com//response time,response_time"
"www.hardware-planet.it//tempo di risposta,response_time"
"www.mediashopuk.com//operating altitude,operating_working_altitude"
"www.planet-computer.it//condizioni ambientali,operating_working_altitude"
"www.planet-computer.it//condizioni ambientali,working_temperature_min"
"www.planet-computer.it//condizioni ambientali,non_operating_working_altitude"
"www.planet-computer.it//condizioni ambientali,working_temperature_max"
"www.planet-computer.it//condizioni ambientali,working_humidity"
"www.makingbuyingeasy.co.uk//headphone connectivity,headphone_port_type"
"www.best-deal-items.com//color support,number_of_colors"
"www.hardware-planet.it//colori del display,number_of_colors"
"www.shopmania.com//color depth,number_of_colors"
"www.mrhightech.com//packaging depth,packaging_dimension"
"www.mrhightech.com//packaging depth,packaging_depth"
"www.nexus-t.co.uk//product name,brand"
"www.nexus-t.co.uk//product name,color"
"www.nexus-t.co.uk//product name,screen_size_diagonal"
"www.nexus-t.co.uk//product name,response_time"
"www.nexus-t.co.uk//product name,screen_type"
"www.nexus-t.co.uk//product name,supported_resolution"
"www.makingbuyingeasy.co.uk//contrast ratio dynamic,contrast_ratio_dynamic"
"www.makingbuyingeasy.co.uk//headphone outputs,headphone_port_quantity"
"www.nexus-t.co.uk//screen features,hd_type"
"www.best-deal-items.com//hd type,hd_type"
"www.ohc24.ch//usb port,has_usb_port"
"www.ohc24.ch//usb port,usb_port_quantity"
"www.odsi.co.uk//dimensions  weight details,monitor_width_with_stand"
"www.odsi.co.uk//dimensions  weight details,monitor_weight_with_stand"
"www.odsi.co.uk//dimensions  weight details,monitor_dimension"
"www.odsi.co.uk//dimensions  weight details,monitor_weight"
"www.odsi.co.uk//dimensions  weight details,monitor_dimension_with_stand"
"www.odsi.co.uk//dimensions  weight details,monitor_height"
"www.odsi.co.uk//dimensions  weight details,monitor_height_with_stand"
"www.odsi.co.uk//dimensions  weight details,monitor_depth_with_stand"
"www.odsi.co.uk//dimensions  weight details,monitor_width"
"www.odsi.co.uk//dimensions  weight details,monitor_depth"
"www.pc-canada.com//speakers,has_speakers"
"www.softwarecity.ca//speakers,has_speakers"
"www.nexus-t.co.uk//usb 20 downstream ports,usb_port2_quantity"
"www.best-deal-items.com//digital horizontal frequency,digital_horizontal_refresh_rate_max"
"www.best-deal-items.com//digital horizontal frequency,digital_horizontal_refresh_rate_range"
"www.cleverboxes.com//usb ports,usb_port_quantity"
"www.cleverboxes.com//usb ports,usb_port_version"
"www.cleverboxes.com//usb ports,usb_port2_upstream_quantity"
"www.cleverboxes.com//environmental,working_temperature_range"
"www.cleverboxes.com//environmental,working_temperature_max"
"www.cleverboxes.com//environmental,working_temperature_min"
"www.cleverboxes.com//environmental,working_humidity"
"www.mrhightech.com//dvii ports quantity,dvii_port_quantity"
"www.nexus-t.co.uk//package width,packaging_dimension"
"www.nexus-t.co.uk//package width,packaging_width"
"www.cleverboxes.com//contrast ratio,contrast_ratio_static"
"www.cleverboxes.com//contrast ratio,contrast_ratio_dynamic"
"www.ohc24.ch//image aspect ratio,supported_aspect_ratio"
"www.itenergy.co.uk//aspect ratio,supported_aspect_ratio"
"www.imldirect.it//aspect ratio,supported_aspect_ratio"
"www.ebay.com//image aspect ratio,supported_aspect_ratio"
"www.ebay.com//dvid,dvid_port_quantity"
"www.ebay.com//dvid,has_dvid_port"
"www.ebay.com//vga input,has_vga_port"
"www.best-deal-items.com//brightness typical,screen_brightness"
"www.vology.com//brightness,screen_brightness"
"www.pcconnection.com//image brightness,screen_brightness"
"www.hardware-planet.it//subwoofer incorporato,has_subwoofer"
"www.hardware-planet.it//classe efficienza energetica,power_consumption_class"
"www.mediashopuk.com//input frequency,input_frequency"
"www.officedepot.com//number of speakers,speakers_quantity"
"www.kingsfieldcomputers.co.uk//number of speakers,speakers_quantity"
"www.officedepot.com//mount type,mount_type"
"www.planet-computer.it//quantitÃ  porte ethernet lan rj45,ethernet_port_quantity"
"www.pc-canada.com//displayport,has_displayport"
"www.planet-computer.it//colore del piede,color_feet"
"www.planet-computer.it//dimensione visibile verticale,screen_size_vertical"
"www.ebay.com//microphone,has_microphone"
"www.xpcpro.com//full hd,has_full_hd"
"www.mrhightech.com//usb 30 ports quantity,usb_port3_quantity"
"www.jrlinton.co.uk//hdmi,has_hdmi_port"
"www.planet-computer.it//altoparlante  cuffia  spinotto di uscita,has_speakers_output"
"www.nexus-t.co.uk//vga ports,vga_port_quantity"
"www.ebay.com//support details full contract period,warranty_duration"
"www.nexus-t.co.uk//warranty direct with manufacturer,warranty_duration"
"www.ebay.com//number of dvi,dvi_port_quantity"
"www.makingbuyingeasy.co.uk//mini displayport quantity,minidisplayport_quantity"
"www.ebay.com//bluetooth,bluetooth"
"www.xpcpro.com//on screen display osd languages,supported_languages"
"www.mrhightech.com//microphone in,has_microphone_input"
"www.xpcpro.com//digital vertical frequency,digital_vertical_refresh_rate_range"
"www.xpcpro.com//digital vertical frequency,digital_vertical_refresh_rate_max"
"www.ohc24.ch//pixel pitch,pixel_pitch"
"www.itenergy.co.uk//network rj45,has_ethernet_port"
"www.xpcpro.com//ethernet lan connection,has_ethernet_port"
"www.nexus-t.co.uk//usb 30 upstream ports,usb_port3_upstream_quantity"
"www.kingsfieldcomputers.co.uk//standard refresh rate,vertical_refresh_rate_max"
"www.ebay.com//screen refresh rate,vertical_refresh_rate_max"
"www.makingbuyingeasy.co.uk//vertical scan range,vertical_refresh_rate_max"
"www.kingsfieldcomputers.co.uk//standard refresh rate,vertical_refresh_rate_range"
"www.ebay.com//screen refresh rate,vertical_refresh_rate_range"
"www.makingbuyingeasy.co.uk//vertical scan range,vertical_refresh_rate_range"
"ca.pcpartpicker.com//hdmi,hdmi_port_quantity"
"www.xpcpro.com//hdmi ports quantity,hdmi_port_quantity"
